HR+D1039_1:101,
571.687,81.69
572.139,82.69
572.59,84.69
573.042,82.69
573.494,84.69
573.945,77.69
574.397,86.69
574.849,86.69
575.3,87.69
575.752,85.69
576.203,97.69
576.655,94.69
577.106,89.69
577.557,94.69
578.009,91.69
578.46,88.69
578.912,71.69
579.363,92.69
579.814,95.69
580.265,101.69
580.717,82.69
581.168,87.69
581.619,93.69
582.07,101.69
582.521,115.69
582.972,80.69
583.423,85.69
583.875,91.69
584.326,80.69
584.777,92.69
585.227,68.69
585.678,87.69
586.129,81.69
586.58,93.69
587.031,104.69
587.482,106.69
587.933,109.69
588.384,83.69
588.834,93.69
589.285,87.69
589.736,106.69
590.186,112.69
590.637,101.69
591.088,87.69
591.538,99.69
591.989,95.69
592.439,100.69
592.89,79.69
593.34,86.69
593.791,83.69
594.241,83.69
594.692,105.69
595.142,79.69
595.593,76.69
596.043,89.69
596.493,79.69
596.943,80.69
597.394,97.69
597.844,83.69
598.294,85.69
598.744,89.69
599.195,88.69
599.645,98.69
600.095,104.69
600.545,100.69
600.995,83.69
601.445,86.69
601.895,108.69
602.345,114.69
602.795,90.69
603.245,95.69
603.695,87.69
604.145,90.69
604.594,93.69
605.044,90.69
605.494,79.69
605.944,75.69
606.393,76.69
606.843,83.69
607.293,81.69
607.743,88.69
608.192,80.69
608.642,90.69
609.091,103.69
609.541,89.69
609.99,87.69
610.44,90.69
610.889,81.69
611.339,93.69
611.788,89.69
612.238,103.69
612.687,77.69
613.136,82.69
613.586,85.69
614.035,88.69
614.484,83.69
614.933,99.69
615.383,88.69
615.832,83.69
616.281,104.69
616.73,97.69
617.179,100.69
617.628,107.69
618.077,82.69
618.526,94.69
618.975,99.69
619.424,77.69
619.873,97.69
620.322,96.69
620.771,88.69
621.22,84.69
621.669,106.69
622.118,81.69
622.567,77.69
623.015,72.69
623.464,91.69
623.913,86.69
624.361,88.69
624.81,76.69
625.259,83.69
625.707,75.69
626.156,72.69
626.604,86.69
627.053,81.69
627.501,71.69
627.95,82.69
628.398,76.69
628.847,79.69
629.295,82.69
629.744,76.69
630.192,86.69
630.64,103.69
631.089,90.69
631.537,85.69
631.985,87.69
632.433,91.69
632.881,83.69
633.33,88.69
633.778,82.69
634.226,96.69
634.674,85.69
635.122,85.69
635.57,93.69
636.018,80.69
636.466,92.69
636.914,67.69
637.362,94.69
637.81,92.69
638.258,84.69
638.705,80.69
639.153,98.69
639.601,106.69
640.049,88.69
640.497,101.69
640.944,86.69
641.392,84.69
641.84,78.69
642.287,86.69
642.735,93.69
643.182,84.69
643.63,86.69
644.078,94.69
644.525,74.69
644.973,75.69
645.42,85.69
645.867,89.69
646.315,85.69
646.762,94.69
647.21,102.69
647.657,69.69
648.104,76.69
648.551,81.69
648.999,92.69
649.446,79.69
649.893,88.69
650.34,95.69
650.787,95.69
651.234,87.69
651.682,94.69
652.129,98.69
652.576,105.69
653.023,78.69
653.47,79.69
653.917,79.69
654.363,81.69
654.81,96.69
655.257,91.69
655.704,84.69
656.151,74.69
656.598,83.69
657.044,73.69
657.491,99.69
657.938,88.69
658.385,87.69
658.831,92.69
659.278,76.69
659.724,84.69
660.171,84.69
660.618,89.69
661.064,94.69
661.511,87.69
661.957,85.69
662.404,78.69
662.85,82.69
663.296,67.69
663.743,97.69
664.189,97.69
664.635,93.69
665.082,123.69
665.528,97.69
665.974,121.69
